n_cm3,Te_eV,fom
1e+19,5.0,3.0
1e+19,16.25,3.0
1e+19,27.5,3.0
1e+19,38.75,3.0
1e+19,50.0,3.0
3.162277660168379e+19,5.0,29.999999999999993
3.162277660168379e+19,16.25,29.999999999999993
3.162277660168379e+19,27.5,29.999999999999993
3.162277660168379e+19,38.75,29.999999999999993
3.162277660168379e+19,50.0,29.999999999999993
1e+20,5.0,300.0
1e+20,16.25,300.0
1e+20,27.5,300.0
1e+20,38.75,300.0
1e+20,50.0,300.0
3.1622776601683794e+20,5.0,3000.0
3.1622776601683794e+20,16.25,3000.0
3.1622776601683794e+20,27.5,3000.0
3.1622776601683794e+20,38.75,3000.0
3.1622776601683794e+20,50.0,3000.0
1e+21,5.0,30000.0
1e+21,16.25,30000.0
1e+21,27.5,30000.0
1e+21,38.75,30000.0
1e+21,50.0,30000.0
